scenario,kpi,mean,ci_lower,ci_upper,std
S2,loss_rate,0.0,0.0,0.0,0.0
S2,missed_conn_rate,0.0,0.0,0.0,0.0
S2,throughput,1777.1299999999999,1773.2571037038178,1781.002896296182,8.27516470393145
S2,total_pax_served,26656.95,26598.85655555727,26715.04344444273,124.12747055897184
S3,avg_journey_time,36.49854645657989,36.44043996580726,36.55665294735252,0.12415534647415777
S3,avg_jt_besiktas,44.24644636932773,44.09872850822015,44.39416423043531,0.31562673949797
S3,avg_jt_eminonu,32.21531525320204,32.11834896855257,32.31228153785152,0.20718653814555638
S3,avg_jt_kadikoy,35.275927982318294,35.20274175014435,35.34911421449224,0.15637602429391104
S3,avg_jt_uskudar,36.469505321642195,36.36769248536239,36.571318157922,0.21754209892486612
S3,avg_wait_besiktas,14.827221177772696,14.730296360775027,14.924145994770365,0.20709793477940944
S3,avg_wait_eminonu,8.283328030604732,8.214326089527809,8.352329971681655,0.14743550656531204
S3,avg_wait_kadikoy,10.131263784423691,10.041691245269329,10.220836323578053,0.19138842296976055
S3,avg_wait_uskudar,16.413598345726204,16.288181313115775,16.539015378336632,0.2679768633497295
S3,berth_util_eminonu,0.2822222222222222,0.2822222222222222,0.2822222222222222,5.695323946259567e-17
S3,berth_util_kadikoy,0.14888888888888888,0.14888888888888888,0.14888888888888888,2.8476619731297836e-17
S3,left_behind_rate,0.02889003021301516,0.025547310272969602,0.03223275015306072,0.007142344113438361
S3,load_factor_L1,0.36909375,0.36791129057517113,0.37027620942482886,0.002526544928616105
S3,load_factor_L2,0.5095846774193549,0.5076389070312658,0.5115304478074439,0.004157501055048395
S3,load_factor_L3,0.42986290322580645,0.42768072954082437,0.43204507691078853,0.004662620755844514
S3,load_factor_L4,0.49868750000000006,0.49677173937495617,0.5006032606250439,0.00409337960357299
S3,loss_rate,0.0,0.0,0.0,0.0
S3,missed_conn_rate,0.001446813938115167,0.0003978435208601453,0.002495784355370189,0.002241320786434256
S3,throughput,1773.5833333333333,1769.7945594838818,1777.3721071827847,8.095421419124293
S3,total_pax_served,26603.75,26546.918392258227,26660.581607741773,121.43132128686439
S4,avg_journey_time,70.08462709256459,67.21781240918281,72.95144177594636,6.125483841129495
S4,avg_jt_besiktas,132.59578064687247,119.0849346342098,146.10662665953515,28.868440436801325
S4,avg_jt_eminonu,51.829350970827534,45.751788108462485,57.90691383319258,12.98584569231754
S4,avg_jt_kadikoy,41.670559126825786,40.66739905548239,42.67371919816918,2.143438445010214
S4,avg_jt_uskudar,47.2099082270127,43.947136335778794,50.4726801182466,6.971520207741059
S4,avg_wait_besiktas,24.856098003824137,22.938884546809163,26.77331146083911,4.096483849834299
S4,avg_wait_eminonu,15.566908605110067,13.557529749143438,17.576287461076696,4.293412400975821
S4,avg_wait_kadikoy,61.055008811687244,55.31987902958884,66.79013859378564,12.254173599244824
S4,avg_wait_uskudar,52.66851459127544,46.10364510823788,59.233384074313,14.027067103630992
S4,berth_util_eminonu,0.1221111111111111,0.11848510200274942,0.12573712021947278,0.007747644216352734
S4,berth_util_kadikoy,0.11655555555555555,0.1123211669362437,0.12078994417486741,0.009047560421331697
S4,left_behind_rate,0.31146957851005264,0.2855214877553488,0.33741766926475647,0.055442931678654904
S4,load_factor_L1,0.4345811991469145,0.42334539604447663,0.4458170022493524,0.02400738727377678
S4,load_factor_L2,0.638606082855758,0.6254192973622213,0.6517928683492947,0.02817602474458354
S4,load_factor_L3,0.4975327954250324,0.47930646854506576,0.5157591223049991,0.03894394410408161
S4,load_factor_L4,0.5908396526576299,0.5712823959203881,0.6103969093948718,0.04178772378111297
S4,loss_rate,0.0444949788189241,0.031237777870308358,0.05775217976753984,0.02832648048724193
S4,missed_conn_rate,0.0,0.0,0.0,0.0
S4,throughput,1678.97,1651.9631097123831,1705.976890287617,57.70525420248228
S4,total_pax_served,25184.55,24779.446645685748,25589.65335431425,865.5788130372342
S5,avg_journey_time,38.35292374055681,37.020815800610386,39.685031680503236,2.8462968702101774
S5,avg_jt_besiktas,46.597862334573655,44.241575745826424,48.954148923320886,5.034645423057237
S5,avg_jt_eminonu,35.13740606557097,33.03802643909823,37.23678569204371,4.4857158200353515
S5,avg_jt_kadikoy,35.6144314160072,35.00280528538129,36.22605754663311,1.3068532129680857
S5,avg_jt_uskudar,35.48920865505362,34.67997525777626,36.298442052330984,1.729077964982876
